RegistrationID,BuildingID,BoroID_x,Boro,HouseNumber,LowHouseNumber,HighHouseNumber,StreetName,StreetCode,Zip,Block,Lot,BIN,CommunityBoard,LastRegistrationDate,RegistrationEndDate,ADDRESS_ID,H_NO,the_geom,HNO_SUFFIX,HYPHEN_TYP,SIDE_OF_ST,SPECIAL_CO,BOROCODE,ZIPCODE,CREATED,MODIFIED,ST_NAME,HN_RNG_SUF,HN_RNG,PHYSICALID,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE,geometry,250m_to_2018_dev,no_proximity_newdev_x,lat,lon,apt_num,Unnamed: 0,year,no_proximity_newdev_y,BoroID_y,rent_price_cleaned,Co-purchase Allowed,Sublets Allowed,Smoke-free,Bike Room,Swimming Pool,NYC Storm Zone 6,Cats and Dogs Allowed,NYC Storm Zone 4,Pets Allowed,Package Room,Doorman,Full-time Doorman,NYC Storm Zone 3,Children's Playroom,Virtual Doorman,Garden,Parking Available,Concierge,Gym,Laundry in Building,Patio,Parents Buying Allowed,Hot Tub,Garage Parking,NYC Storm Zone 1,Valet,NYC Storm Zone 5,Pied-a-Terre Allowed,Green Building,Live-in Super,Roof Deck,Elevator,Cold Storage,Deck,Waterfront,NYC Storm Zone 2,Storage Available,Community Recreation Facilities,Media Room,has_amenity
369623,208550,3,BROOKLYN,1908,1908,1908,BERGEN STREET,19230,11233.0,1452,29,3039041.0,16,11/30/2018,09/01/2019,3047913,1908,POINT (-73.91801939179166 40.67422168731214),,N,2,,3,11233.0,02/13/2009 12:00:00 AM +0000,,BERGEN,,,45827,,,,ST,,,BERGEN ST,POINT (-73.91801939179166 40.67422168731214),True,False,-73.91801939179166,40.67422168731214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
140830,28789,1,MANHATTAN,1,1,13,IRVING PLACE,32632,10003.0,870,7501,1083247.0,5,09/11/2020,09/01/2021,1020369,118,POINT (-73.98858751409878 40.73467132053732),,N,2,,1,10003.0,04/06/2009 12:00:00 AM +0000,07/22/2013 12:00:00 AM +0000,15,,,81161,,E,,ST,,,E  15 ST,POINT (-73.98858751409878 40.73467132053732),True,False,-73.98858751409878,40.734671320537316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
307067,301959,3,BROOKLYN,126,126,126,GRAHAM AVENUE,44930,11206.0,3080,6,3071351.0,1,10/11/2020,09/01/2021,3093692,126,POINT (-73.9427634883591 40.70568760750539),,N,2,,3,11206.0,02/13/2009 12:00:00 AM +0000,03/30/2017 12:00:00 AM +0000,GRAHAM,,,45774,,,,AVE,,,GRAHAM AVE,POINT (-73.94276348835911 40.70568760750539),True,False,-73.9427634883591,40.70568760750539,7.0,1280.5,2018.0,False,3.0,2249.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
311608,366866,3,BROOKLYN,320,320,320,SCHAEFER STREET,75230,11237.0,3431,50,3079609.0,4,07/16/2020,09/01/2021,3105678,320,POINT (-73.9042801793716 40.69311053967498),,N,2,,3,11237.0,02/13/2009 12:00:00 AM +0000,,SCHAEFER,,,89174,,,,ST,,,SCHAEFER ST,POINT (-73.9042801793716 40.69311053967498),True,False,-73.9042801793716,40.693110539674976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
202710,66000,2,BRONX,600,600,600,EAST 178 STREET,27000,10457.0,3068,55,2011976.0,6,10/12/2020,09/01/2021,2104373,1974,POINT (-73.89301522180423 40.84674362707097),,N,2,,2,10457.0,03/16/2009 12:00:00 AM +0000,05/31/2017 12:00:00 AM +0000,ARTHUR,,,98869,,,,AVE,,,ARTHUR AVE,POINT (-73.89301522180423 40.84674362707097),True,False,-73.89301522180423,40.84674362707097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
389347,321213,3,BROOKLYN,260,260,260,KNICKERBOCKER AVENUE,54100,11237.0,3197,34,3072742.0,4,12/01/2020,09/01/2021,3096390,260,POINT (-73.92487995509752 40.70238598975461),,N,2,,3,11237.0,02/13/2009 12:00:00 AM +0000,,KNICKERBOCKER,,,70464,,,,AVE,,,KNICKERBOCKER AVE,POINT (-73.92487995509752 40.70238598975461),True,False,-73.92487995509751,40.70238598975461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
202220,118429,2,BRONX,1400,1400,1400,VYSE AVENUE,72320,10459.0,2994,1,2010726.0,3,04/01/1993,05/31/1994,2019506,961,POINT (-73.8896788440287 40.830184382099134),,R,1,,2,10459.0,03/16/2009 12:00:00 AM +0000,,FREEMAN,,965,64234,,,,ST,,,FREEMAN ST,POINT (-73.88967884402869 40.83018438209913),True,False,-73.88967884402871,40.830184382099134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
302948,371686,3,BROOKLYN,119,119,119,SOMERS STREET,78030,11233.0,1540,65,3041995.0,16,10/20/2020,09/01/2021,3052055,119,POINT (-73.90775044554235 40.679287537841375),,N,1,,3,11233.0,02/13/2009 12:00:00 AM +0000,,SOMERS,,,99162,,,,ST,,,SOMERS ST,POINT (-73.90775044554235 40.67928753784138),True,False,-73.90775044554235,40.679287537841375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
108211,3387,1,MANHATTAN,1880,1880,1886,ADAM C POWELL BOULEVARD,10610,10026.0,1830,29,1055205.0,10,09/07/2020,09/01/2021,1045764,1880,POINT (-73.95353716519665 40.802281973002835),,R,1,,1,10026.0,04/06/2009 12:00:00 AM +0000,06/26/2009 12:00:00 AM +0000,ADAM CLAYTON POWELL JR,,1886,19181,,,,BLVD,,,ADAM CLAYTON POWELL JR BLVD,POINT (-73.95353716519665 40.80228197300283),True,False,-73.95353716519666,40.80228197300284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
351486,357703,3,BROOKLYN,1114,1114,1114,PUTNAM AVENUE,72930,11221.0,3373,22,3077137.0,4,02/11/2020,11/01/2020,3102603,1114,POINT (-73.91819374539494 40.68848258361574),,N,2,,3,11221.0,02/13/2009 12:00:00 AM +0000,,PUTNAM,,,89677,,,,AVE,,,PUTNAM AVE,POINT (-73.91819374539494 40.68848258361574),True,False,-73.91819374539493,40.688482583615745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
