,BIN,apt_num,price_diff,rooms,bedrooms,bath,no_proximity_newdev,BoroID
0,1003107.0,2,-0.0096,4,2,1,True,1
1,1003107.0,7,-0.0096,4,2,1,True,1
2,1004303.0,2,0.0963855421686747,4,1,1,False,1
3,1004471.0,1,-0.09144542772861357,2,0,1,False,1
4,1004471.0,2,-0.09144542772861357,2,0,1,False,1
5,1004471.0,5,-0.0027100271002710027,2,0,1,False,1
6,1004471.0,6,-0.09144542772861357,2,0,1,False,1
7,1005300.0,1,0.12,5,3,1,False,1
8,1005300.0,2,0.2936666666666667,3,2,1,False,1
9,1005300.0,4,0.13,5,3,1,False,1
10,1005300.0,5,0.13,5,3,1,False,1
11,1005300.0,6,0.19818181818181818,4,3,1,False,1
12,1005300.0,7,0.19818181818181818,4,3,1,False,1
13,1006390.0,5,-0.08124373119358075,3,1,1,True,1
14,1006390.0,6,-0.041123370110330994,3,1,1,True,1
15,1006835.0,3,0.01486988847583643,2,0,1,False,1
16,1006835.0,7,-0.04515151515151515,3,1,1,False,1
17,1006847.0,3,-0.07296137339055794,3,0,1,False,1
18,1006922.0,3,0.07578947368421053,3,1,1,True,1
19,1006922.0,5,-0.15151515151515152,2,0,1,True,1
20,1006922.0,6,0.06595744680851064,3,1,1,True,1
21,1006978.0,1,-0.058020477815699786,4,2,1,True,1
22,1006978.0,3,0.05454545454545454,5,3,1,True,1
23,1006978.0,4,-0.058020477815699786,5,3,1,True,1
24,1006978.0,5,0.05454545454545454,5,3,1,True,1
25,1006978.0,6,0.05454545454545454,5,3,1,True,1
26,1007530.0,5,-0.023770491803278688,2,0,1,True,1
27,1007786.0,5,-0.09602194787379972,4,2,1,True,1
28,1008408.0,1,-0.07392996108949416,5,2,1,True,1
29,1008408.0,2,-0.044349070100143065,4,2,1,True,1
30,1008636.0,4,-0.007894736842105263,3,1,1,True,1
31,1009260.0,2,-0.04563758389261745,3,1,1,True,1
32,1009260.0,4,-0.04563758389261745,3,1,1,True,1
33,1009260.0,5,-0.04563758389261745,4,1,1,True,1
34,1009260.0,7,-0.04563758389261745,4,1,1,True,1
